,t1,t2,x1,x2,label
0,alpha,alpha,1.0100035605,1.9265560322,1
1,alpha,alpha,1.0525413212999999,2.0254626214,1
2,alpha,alpha,0.7946728145,1.8885039393,1
3,alpha,alpha,1.0986537737,2.1518637773,1
4,alpha,alpha,0.9699935417000001,1.8762699413,1
5,alpha,alpha,1.0386142270999998,2.05589101,1
6,alpha,alpha,0.8580727491,2.0746315903,1
7,alpha,alpha,1.2534337482,1.8945795171000002,1
8,alpha,alpha,1.0084474095,2.0219836172,1
9,alpha,alpha,0.4214426972,2.1934872813,1
10,alpha,alpha,1.277970355,1.9498655233000002,1
11,alpha,alpha,0.9553654958,1.9569812906,1
12,alpha,alpha,1.0175333956000001,2.0134124681,1
13,alpha,alpha,0.8958323697,1.8193676475,1
14,alpha,alpha,0.8145993375,1.9851155475,1
15,alpha,alpha,1.6488322504,1.7353633206999999,1
16,alpha,alpha,0.9316626853,2.0273030566999997,1
17,alpha,alpha,0.8722395326000001,1.9376672035,1
18,alpha,alpha,0.8808742997,1.8554366384999998,1
19,alpha,alpha,0.9588537462000001,1.8448868118000001,1
20,alpha,alpha,1.0290049397,2.0160740203,1
21,alpha,alpha,0.9018289612,2.091234419,1
22,alpha,alpha,1.3618327918000002,2.0315398774,1
23,alpha,alpha,1.120858039,2.0747889889,1
24,alpha,alpha,0.9807462802,1.8441416878,1
25,alpha,alpha,0.9767881852,2.1340625279,1
26,alpha,alpha,1.0766728763,2.1103318759,1
27,alpha,alpha,0.6861898090999999,2.0662282088999997,1
28,alpha,alpha,0.45029175549999995,1.9684058016,1
29,alpha,alpha,0.8568211734000001,1.9997429021000002,1
30,alpha,alpha,0.9970525156000001,1.9026374066999998,1
31,alpha,alpha,1.1427778923,2.0097365811000003,1
32,alpha,alpha,1.0612741583,2.0703117368,1
33,alpha,alpha,0.9690987006,1.8247291680000002,1
34,alpha,alpha,0.8220517401,1.9748340146,1
35,alpha,alpha,0.9107891323999999,1.9606649174000002,1
36,alpha,alpha,1.0126600022,2.0368421241,1
37,alpha,alpha,1.0350993998,1.9170531238,1
38,alpha,alpha,1.1346037959,1.9966684819,1
39,alpha,alpha,0.8568934965999999,1.7790105933000002,1
40,alpha,alpha,0.8532294334999999,1.9873346905000002,1
41,alpha,alpha,0.9200898107,1.9069294334,1
42,alpha,alpha,0.807676682,1.9029214363999998,1
43,alpha,alpha,0.7306843154000001,1.9985545113999998,1
44,alpha,alpha,1.2375100333,1.9344059031999998,1
45,alpha,alpha,0.7216676162000001,1.8908726835,1
46,alpha,alpha,0.924606246,1.9713589161000002,1
47,alpha,alpha,0.9600393505,2.0272633812,1
48,alpha,alpha,1.1272577531999999,2.0412915025,1
49,alpha,alpha,1.1297362938,1.8008075166,1
50,alpha,alpha,0.7388244795000001,2.0205942357,1
51,alpha,alpha,1.1272752055,1.9163720463999998,1
52,alpha,alpha,0.6850043247,1.8612201549,1
53,alpha,alpha,1.0764486331999998,1.9233577062,1
54,alpha,alpha,1.0449663458,2.0044858586000003,1
55,alpha,alpha,1.1430691537,1.9141710435,1
56,alpha,alpha,1.0729279904,2.0820715373,1
57,alpha,alpha,1.1369154448,1.9939831297,1
58,alpha,alpha,0.8685996018000001,2.0647073388,1
59,alpha,alpha,1.2981752845,1.9982573013999998,1
60,alpha,alpha,1.174987785,2.1932078271,1
61,alpha,alpha,1.141110792,1.9131766730000002,1
62,alpha,alpha,0.6977097023000001,2.0736844405,1
63,alpha,alpha,0.7474909707999999,1.9278144405000002,1
64,alpha,alpha,1.3224818193999999,1.8550388171,1
